1	3800001	4000000	0
1	13000001	13800000	1
1	29800001	30100000	1
1	103800001	104000000	0
1	121500001	142500000	0
1	144100001	144500000	1
1	145800001	146400000	1
1	149400001	149600000	1
2	16200001	16400000	1
2	87600001	87800000	1
2	89600001	89800000	0
2	90500001	91600000	0
2	92400001	95300000	0
3	75600001	75800000	1
3	90500001	93600000	0
4	49700001	52600000	0
5	46400001	49400000	0
6	1	200000	0
6	58000001	58200000	1
6	58800001	61900000	0
6	95600001	95900000	1
6	157500001	157700000	1
6	167900001	168100000	1
7	58100001	60200000	0
7	60300001	61000000	0
7	74700001	74900000	0
7	130100001	130300000	0
7	143200001	143600000	1
7	154200001	154400000	0
8	7000001	7200000	1
8	39200001	39400000	0
8	43900001	46800000	0
9	39200001	40300000	0
9	40800001	41800000	0
9	43900001	46600000	1
9	47300001	66400000	0
9	92300001	92700000	0
9	133000001	133300000	1
10	17800001	18200000	0
10	37500001	42300000	0
10	46300001	46900000	0
10	48600001	49200000	1
10	128600001	128800000	0
11	50700001	51200000	0
11	51600001	54700000	0
12	31900001	37900000	0
12	109300001	109500000	1
13	1	19000000	0
13	86700001	86900000	0
13	112300001	112500000	0
14	1	19000000	0
14	19000001	20400000	2
15	1	20000000	0
15	21400001	21800000	0
15	22700001	23600000	1
15	82600001	83200000	1
15	84900001	85100000	1
16	34000001	34200000	0
16	35300001	45600000	0
16	45700001	46300000	0
17	21500001	21700000	0
17	22200001	25200000	0
17	34500001	34800000	0
17	44400001	44800000	1
17	77400001	77700000	1
18	15300001	18500000	0
19	24700001	27700000	0
19	55200001	55400000	1
20	26300001	29800000	0
21	1	9400000	0
21	11200001	14300000	0
21	15000001	15200000	0
22	1	16100000	0
22	20400001	20600000	0
X	52100001	52500000	0
X	59500001	60500000	0
X	60600001	61600000	0
Y	1	2700000	0
Y	10200001	13100000	0
Y	28900001	58800000	0
GL000191.1	1	200000	0
GL000227.1	1	200000	0
GL000209.1	1	200000	0
GL000213.1	1	200000	0
GL000215.1	1	200000	0
GL000223.1	1	200000	0
GL000222.1	1	200000	1
GL000200.1	1	200000	0
